targetID;targetName
TTDC00140;Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform
TTDC00141;Hexokinase D
TTDC00142;mRNA of Clusterin
TTDC00143;Kinesin-like protein KIF11
TTDC00144;Neurotensin receptor type 1
TTDC00145;Ribosomal protein S6 kinase
TTDC00147;Interstitial collagenase
TTDC00148;Integrin beta-1
TTDC00149;Steryl-sulfatase
TTDC00150;Collagenase 3
TTDC00151;Prostaglandin E2 receptor, EP4 subtype
TTDC00152;Fructose-1,6-bisphosphatase
TTDC00153;Orexin receptor type 1
TTDC00155;Motilin receptor
TTDC00156;Tyrosine-protein kinase SYK
TTDC00157;Macrophage metalloelastase
TTDC00158;Sodium/glucose cotransporter 2
TTDC00159;Histone deacetylase 4
TTDC00160;Serine/threonine-protein kinase PLK1
TTDC00161;Angiopoietin 1 receptor
TTDC00162;Glycogen synthase kinase-3 beta
TTDC00163;Protein kinase C, beta type
TTDC00164;Dual specificity mitogen-activated protein kinase kinase
TTDC00165;Cell division protein kinase 4
TTDC00166;Cell division control protein 2 homolog
TTDC00168;Antiapoptotic protein BCL-XL
TTDC00169;Cell division protein kinase 6
TTDC00170;Phosphodiesterase isozyme 4, PDE4
TTDC00171;Guanylyl cyclase C
TTDC00176;Placenta growth factor
TTDC00177;Interleukin-13
TTDC00178;Protein kinase C, theta type
TTDC00179;P2Y purinoceptor 2
TTDC00180;Amyloid beta A4 protein
TTDC00181;Protein kinase C
TTDC00182;Protein kinase C, alpha type
TTDC00183;Neuropilin-1
TTDC00184;Beta-3 adrenergic receptor
TTDC00185;5-hydroxytryptamine 6 receptor
TTDC00186;Interleukin-9
TTDC00187;Tyrosine-protein kinase JAK2
TTDC00188;Tumor necrosis factor receptor superfamily member 5
TTDC00189;Tumor necrosis factor receptor superfamily member 16
TTDC00190;High affinity interleukin-8 receptor A
TTDC00191;mRNA of Protein-tyrosine phosphatase, non-receptor type 1
TTDC00192;mRNA of Intercellular adhesion molecule-1
TTDC00193;Neuropeptide Y receptor type 1
TTDC00194;Hepatocyte growth factor
TTDC00195;Telomerase
TTDC00196;Tumor necrosis factor ligand superfamily member 13B
TTDC00197;P-selectin
TTDC00198;HCV polymerase
TTDC00199;Myeloperoxidase
TTDC00200;NAD(P)H dehydrogenase [quinone] 1
TTDC00201;Mitogen-activated protein kinase 14
TTDC00202;Rho-associated protein kinase 1
TTDC00203;Transforming growth factor-beta
TTDC00204;Vasoactive intestinal polypeptide receptor 1
TTDC00205;Glucagon-like peptide 1
TTDC00206;Ubiquitin-protein ligase E3 Mdm2
TTDC00207;C-C chemokine receptor type 3
TTDC00208;T-cell-specific surface glycoprotein CD28
TTDC00209;Toll-like receptor 4
TTDC00210;Angiopoietin-2
TTDC00211;HIV integrase
TTDC00212;Cyclin-dependent kinase
TTDC00213;Connective tissue growth factor
TTDC00214;Interleukin-17
TTDC00215;C-C chemokine receptor type 1
TTDC00216;mRNA of C-reactive protein
TTDC00217;Interleukin-5 receptor
TTDC00218;P2X purinoceptor 7
TTDC00219;Tumor necrosis factor receptor superfamily member 4
TTDC00220;Metabotropic glutamate receptor 1
TTDC00221;Interleukin-18
TTDC00222;Inhibitor of nuclear factor kappa-B kinase
TTDC00224;Tumor necrosis factor ligand superfamily member 11
TTDC00225;Macrophage inflammatory protein-2-alpha
TTDC00226;C-C chemokine receptor type 4
TTDC00227;Sodium- and chloride-dependent glycine transporter 1
TTDC00228;mRNA of Eukaryotic translation initiation factor 4E
TTDC00230;Gastrin-releasing peptide receptor
TTDC00231;G-protein coupled receptor 54
TTDC00232;Cytochrome P450 26
TTDC00233;Gamma secretase
TTDC00234;Interleukin-1 receptor, type II
TTDC00236;mRNA of ApoB-100
TTDC00237;Putative G-protein coupled receptor 44
TTDC00238;EGF-like domain-containing protein 7
TTDC00239;Neuronal acetylcholine receptor subunit alpha-9
TTDC00240;Voltage-dependent calcium channel subunit alpha-2/delta-2
TTDC00241;mRNA of HIF-1 responsive protein RTP801
TTDC00242;Neuronal acetylcholine receptor subunit alpha-10
TTDC00243;Solute carrier family 22 member 12
TTDC00244;Bcl-2-like protein 2
TTDC00245;NEDD8-activating enzyme E1 catalytic subunit
TTDC00246;Synaptic vesicle glycoprotein 2A
TTDC00247;Angiopoietin-1
TTDC00248;Mucosal addressin cell adhesion molecule 1
TTDC00249;Puromycin-sensitive aminopeptidase
TTDC00250;Glutamate receptor 1
TTDC00251;Interleukin-15
TTDC00252;Pigment epithelium-derived factor
TTDC00253;Somatostatin receptor type 5
TTDC00254;Somatostatin receptor type 3
TTDC00255;Sodium-dependent serotonin transporter
TTDC00256;Wee1-like protein kinase
TTDC00257;Ciliary neurotrophic factor receptor alpha
TTDC00258;Sphingosine 1-phosphate receptor 1
TTDC00259;Cytotoxic T-lymphocyte protein 4
TTDC00260;Sodium/glucose cotransporter 1
TTDC00263;Macrophage colony-stimulating factor 1
TTDC00264;Beta-2-glycoprotein 1
TTDC00265;T-cell surface glycoprotein CD4
TTDC00266;Tumor necrosis factor receptor superfamily member 10B
TTDC00267;Tumor necrosis factor receptor superfamily member 10A
TTDC00268;mRNA of TNF alpha
TTDC00269;mRNA of Heat shock 27 kDa protein
TTDC00270;HCV internal ribosome entry site (IRES)
TTDC00271;Myc proto-oncogene protein
TTDC00272;Transforming growth factor beta 2
TTDC00273;Baculoviral IAP repeat-containing protein 5
TTDC00274;mRNA of HIV Tar and Tat/Rev
TTDC00275;HCV genome conserved portion (unspecified)
TTDC00277;mRNA of E1 region of human papillomavirus
TTDC00278;mRNA of Inflammatory cytokines
TTDC00279;mRNA of respiratory syncytial virus nucleocapsid protein
TTDC00280;mRNA of Inhibitor of apoptosis protein
TTDC00281;MARK3
TTDC00282;mRNA of Integrin alpha V
TTDC00283;mRNA of HIV-1 envelope protein
TTDC00284;mRNA of HIV reverse transcriptase
TTDC00285;mRNA of Survivin
TTDC00286;mRNA of Glucagon receptor
TTDC00287;mRNA of PKC-alpha
TTDC00288;mRNA of Vascular endothelial growth factor receptor
TTDC00289;mRNA of Vascular endothelial growth factor A165 isoform
TTDC00290;Vascular endothelial growth factor receptor 3
TTDC00291;D(4) dopamine receptor
TTDC00292;Alpha-1A adrenergic receptor
TTDC00293;Alpha-2B adrenergic receptor
TTDC00295;Triacylglycerol lipase, pancreatic
TTDC00297;Histone deacetylase
TTDC00298;Vasopressin V1b receptor
TTDC00299;Glutamate [NMDA] receptor subunit epsilon 2
TTDC00300;Interleukin-1
TTDC00301;Neuronal acetylcholine receptor protein, beta-2 chain
TTDC00303;Potassium voltage-gated channel subfamily A member 5
TTDC00304;Sodium-dependent noradrenaline transporter
TTDC00307;FK506-binding protein 1A
TTDC00308;mRNA of HIV-1 TAR
TTDC00310;mRNA of RAF proto-oncogene serine/threonine-protein kinase
TTDC00311;Alpha platelet-derived growth factor receptor
TTDC00312;Urokinase-type plasminogen activator
TTDC00313;Acetyl-CoA acetyltransferase, mitochondrial
TTDC00314;Cannabinoid receptor 2
TTDC00315;Phosphodiesterase
TTDC00316;Tyrosine-protein kinase
TTDC00317;Nicotinic acid receptor
TTDC00318;High affinity nerve growth factor receptor
TTDC00319;Apoptosis regulator Bcl-2
TTDC00320;G protein-coupled receptor 110A niacin receptor
TTDC00321;HCV NS4B protein
TTDC00322;HCV NS5A protein, NS5A protein
TTDC00323;M1 prime segment of membrane IgE
TTDC00324;MicroRNA miR-122
TTDC00325;mRNA of copper zinc superoxide dismutase 1
TTDC00326;Complement factor D
TTDC00327;Lymphotoxin alpha
TTDC00328;mRNA of ApoC-III
TTDC00329;mRNA of transthyretin
TTDC00330;mRNA of Factor XI
TTDC00331;Apolipoprotein B-100
TTDC00332;mRNA of androgen receptor
TTDC00333;Prolactin receptor
TTDC00334;mRNA of VEGFR1
TTDC00335;mRNA of connective tissue growth factor
TTDC00336;mRNA of sodium-glucose transporter-2
TTDC00337;CD70
TTDC00338;Activin receptor-like kinase-1
TTDC00339;mRNA of kinesin spindle protein
TTDC00340;Choline transporter-like protein 4
TTDC00341;Scavenger decapping enzyme DcpS
TTDC00342;Calcium-release activated calcium channel
TTDC00343;Nectin-4
TTDC00344;Smoothened
TTDC00345;mRNA of growth hormone receptor
TTDI00319;Purine nucleoside phosphorylase
TTDI00342;CXCR4 chemokine
TTDI00350;AKT1 protein kinase
TTDI00462;Nicotinic acid receptor 1
TTDI00558;Interleukin-16 ligand
TTDI00587;GTP cyclohydrolase-I
TTDI00605;Proliferating cell nuclear antigen
TTDI00607;12/15-lipoxygenase
TTDI00641;Protein phosphatase 2A
TTDI00662;Connecting peptide (C-peptide)
TTDI00711;Methionine aminopeptidase-2
TTDI00747;Stearoyl CoA desaturase-1
TTDI00764;Bacteria chorismate synthase
TTDI00816;Glutathione reductase
TTDI00862;Dihydroorotate dehydrogenase
TTDI00870;DNA topoisomerase I
TTDI00909;Ryanodine receptor
TTDI00915;Angiotensin-converting enzyme
TTDI00931;DHFR
TTDI00934;RNA polymerase
TTDI00939;Estrogen receptor alpha
TTDI00956;Thioredoxin reductase
TTDI00964;Thymidylate synthase
TTDI00965;Squalene epoxidase
TTDI00967;Tubulin beta-1 chain
TTDI00990;Farnesyl pyrophosphate synthase
TTDI01008;Voltage-dependent calcium channel subunit alpha-2/delta-1
TTDI01014;Carnitine palmitoyltransferase-I
TTDI01022;CD11a
TTDI01040;Hemoglobin
TTDI01041;Hemoglobin subunit beta
TTDI01147;Adenine biosynthesis
TTDI01148;Virus DNA
TTDI01149;Beta-hydroxybutyrate
TTDI01150;Prolonging and increasing the activation of HSF1
TTDI01151;Inhibiting HIV-1 attachment
TTDI01152;Nuclear transcription mechanisms that govern and regulate inflammation
TTDI01153;HIV replication early phase
TTDI01154;Hydroxyapatite
TTDI01155;Inhibiting both TNF-alpha and IL-1 beta production
TTDI01156;Inhibiting IL-1 synthesis and/or release
TTDI01157;Inhibiting the induction of nitric oxide synthase
TTDI01158;Micelle
TTDI01159;Mitochondrial gene transcription
TTDI01160;Calcium flux
TTDI01161;Reactive oxygen species
TTDI01162;Histamine and peptide leukotrienes release
TTDI01163;Lipid peroxidation
TTDI01164;IFN-gamma production
TTDI01166;Inducing a significant increase in cyclic AMP level
TTDI01167;P-glycoprotein mediated multidrug resistance
TTDI01168;Release of ACh
TTDI01169;Histamine release
TTDI01170;IgE-mediated histamine release
TTDI01171;Leukotriene biosynthesis
TTDI01172;Potential penetration
TTDI01173;Uptake of luminal sterol across the microvillus membrane
TTDI01174;HBV protein priming reaction and the packaging reaction
TTDI01175;Potentiating dexamethasone-induced GR transcriptional activity
TTDI01176;Ca2+ dependent or involving processes
TTDI01177;Coccidia schizogony and gametogony processes
TTDI01178;Cyclin D1 synthesis
TTDI01179;DNA synthesis
TTDI01180;Downregulating angiotensin II-induced endothelin-1 gene expression
TTDI01181;Histone synthesis
TTDI01182;Inhibit the formation of beta-hematin by forming a complex with hemin
TTDI01183;Progesterone
TTDI01184;Prostaglandin metabolism
TTDI01185;Superoxide anion
TTDI01186;Second phase insulin secretion
TTDI01187;Plasmodial phospholipid metabolism
TTDI01188;Bacterial protein synthesis
TTDI01189;Cell mediated immunity response
TTDI01190;JAK-2/STAT-1 pathway
TTDI01192;Phospholipids in bacterial cell membrane
TTDI01193;Tumour metastasis
TTDI01195;Cell cycle
TTDI01197;Signal transduction
TTDI01198;Intracellular signaling, damage sensing, and DNA repair pathways responsible for DNA damage
TTDI01199;Tumorigenesis
TTDI01201;Inhibiting sodium/calcium ion exchange
TTDI01202;Fungal mitochondrial membrane
TTDI01203;Ergosterol synthesis
TTDI01204;Improve mitochondrial function
TTDI01209;Hydroxy radical
TTDI01217;Chaperonin
TTDI01218;Microbial membrane
TTDI01219;Cytochrome P-450-dependent ergosterol synthesis
TTDI01220;Free radicals
TTDI01221;JAK-STAT pathway
TTDI01222;Cytomegalovirus (CMV) replication
TTDI01223;Mast cell degranulation
TTDI01228;Bone metabolism
TTDI01230;Ganglioside GD2
TTDI01231;Galactose oligosaccharides and glycolipids
TTDI01232;Replacing the 17 beta-estradiol and progesterone hormones the body has stopped producing as the result of menopause
TTDI01234;Viral maturaton
TTDI01235;Gene thrapy-delivered myostatin
TTDI01236;AE-H
TTDI01237;Hormone
TTDI01238;Cell differentiation
TTDI01239;Galectin
TTDI01240;Viral matration
TTDI01241;HV MAG pDNA
TTDI01242;mRNA of HBV
TTDI01243;Pseudomonas aeruginosa Psl exopolysaccharide
TTDI01244;microbiome
TTDI01245;meningococcal groups ACWY conjugate
TTDI01246;Haemophilus influenzae type B CRM 197 conjugate
TTDI01247;HIV-MAG DNA
TTDI01248;Glutamatergc system
TTDI01249;Recombinant tetravalent attenuated live dengue
TTDI01250;Inhibiting expression of interleukin-1 (IL-1), interleukin-6 (IL-6) and tumor necrosis factor (TNF)
TTDI01251;Antigen-specific immunotherapeutic
TTDI01253;Basal lamina
TTDI01254;Activating key enzymes to regulate glucose metabolism
TTDI01255;Inhibiting IL-1/TNF alpha synthesis
TTDI01256;Cholinergic activityy
TTDI01257;Gastric emptying
TTDI01258;Hydroxyl radicals and superoxide anions
TTDI01259;Mediator release
TTDI01260;Neutrophil adhesion
TTDI01261;Hantavirus
TTDI01262;Rotavirus toxin
TTDI01263;Gram-positive bacteria
TTDI01264;Secretion of growth hormone
TTDI01265;Malaria DNA
TTDI01266;Glycolysis
TTDI01268;Inhibiting pro-inflammatory cytokines (IL-1b, MCP-1, IL-6 and IL-10)
TTDI01269;Cationic airway liquid
TTDI01270;mRNA of lentivirus
TTDI01271;HIV-1 ribonucleic acid
TTDI01272;HCV nucleoside
TTDI01276;Non-retinoid visual cycle
TTDI01278;Synthetic peptide-based
TTDI01279;Mistletoe lectin
TTDI01281;TNF-alpha synthesis
TTDI01282;Inhibiting the expression of inducible nitric oxide synthase (iNOS)
TTDI01285;Decreasing the activity of important signaling molecules (pAKT) involved in chemoresistance, inducing the NF-E2 related factor 2 (NRF2) stress response pathway by inducing the the generation of free radicals, and increasing the cellular concentration of superoxide, hydroxyl free radicals and/or hydrogen peroxide
TTDI01286;Inhibiting expression of pro-inflammatory cytokines (IL-1beta, IL-6, IL-12, TNF-alpha and IL-10)
TTDI01287;Potassium
TTDI01288;Reducing beta-glucuronidase level
TTDI01289;Binding to a specific neuroepithelial receptor
TTDI01290;Increasing unstimulated AM release of both TNF and IL-10
TTDI01291;Voltage-gated ion channel
TTDI01292;Expression of inflammation cytokines including TNF-alpha, IL-1beta and IL-6
TTDI01295;HIV transmission
TTDI01302;Gluten
TTDI01303;Hexim1 kinase
TTDI01304;Genes involved in the insulin signaling pathway during the differentiation of monocyte-derived stem cells (MDSCs)
TTDI01305;Poxvirus enzyme
TTDI01306;Enhancing the inclusion of exon 7 in the splicing of SMN2 pre-messenger RNA (premRNA) and restored normal SMN protein levels
TTDI01308;Protein synthesis
TTDI01309;Inhibiting vascular cell adhesion molecule expression
TTDI01310;Leukocyte
TTDI01311;Nitric oxide
TTDI01312;Two specific enzymes that are active in the skin
TTDI01313;PK modulator
TTDI01314;Cyclic pyranopterin monophosphate
TTDI01315;HIV maturation
TTDI01316;Brain membranes
TTDI01317;Multidrug-resistance
TTDI01318;Bile acid
TTDI01319;Poly-N-acetyl glucosamine
TTDI01321;Inhibiting platelet activation by cathepsin G released from stimulated polymorphonuclear leukocytes
TTDI01324;T cell
TTDI01325;Hypoxic cell
TTDI01326;T-cells
TTDI01327;Stem cell
TTDI01328;Stem or T cell
TTDI01329;Allogeneic B7.1/HLA-A1 transfected tumor cell
TTDI01330;Cancer cell
TTDI01331;Cathelicidin
TTDI01332;Glycosyltransferase
TTDI01333;ATM serine protein kinase
TTDI01334;Exo-alpha sialidase
TTDI01335;Heterotrimeric G-protein
TTDI01336;SOS gene
TTDI01337;Bombesin bb3 receptor
TTDI01338;DNA binding protein
TTDI01339;Calcium-calmodulin dependent kinase
TTDI01340;Phospho MurNAc pentapeptide transferase
TTDI01341;Ubiquitin ligase
TTDI01342;Imidazoline I2 receptor
TTDI01343;RNA polymerase I
TTDI01345;Diacylglycerol O-acyltransferase
TTDI01346;Pleckstrin homology domain protein
TTDI01347;Glycerol-3-phosphate O-acyltransferase
TTDI01348;Glutamate racemase
TTDI01349;SGK-1 protein kinase
TTDI01350;Transient receptor potential channel
TTDI01351;cAMP
TTDI01352;Helicase
TTDI01353;Eukaryotic initiation 2 alpha kinase 1
TTDI01354;TNF-like receptor-2
TTDI01355;Hemolysin alpha
TTDI01356;Itk tyrosine kinase
TTDI01357;Mycolic acid synthase
TTDI01358;Uncharacterized KIAA protein
TTDI01359;Sensor protein qseC
TTDI01360;LIM kinase-2
TTDI01361;CDC25 associated kinase-1
TTDI01362;Malonyl CoA decarboxylase
TTDI01363;Ttk protein kinase
TTDI01364;DYRK-1 alpha protein kinase
TTDI01365;TLR
TTDI01366;Mixed lineage kinase
TTDI01367;Calcium dependent protein kinase 1
TTDI01368;Lysine specific demethylase gene
TTDI01369;Phosphatonin receptor
TTDI01370;Nuclear transcription factor Y
TTDI01371;RAC1 GTPase
TTDI01372;Shikimate kinase
TTDI01373;Tyro3 tyrosine kinase receptor
TTDI01374;Epoxide hydrolase-2
TTDI01375;Other protein kinase family
TTDI01376;Succinate dehydrogenase
TTDI01377;COT protein kinase
TTDI01378;Gene target
TTDI01379;Undecaprenyl diphosphate synthetase
TTDI01380;Vacuolar hydrogen ATPase
TTDI01381;JAM
TTDI01382;Anti-mullerian hormone II receptor
TTDI01383;Urokinase plasminogen receptor
TTDI01384;Adrenomedullin receptor
TTDI01385;Opsin GPCR gene
TTDI01386;Adenylate cyclase 5
TTDI01387;ADAM
TTDI01388;Merozoite surface protein
TTDI01389;AIMP multisynthetase complex protein 2
TTDI01390;Alpha crystallin
TTDI01391;Synuclein alpha
TTDI01392;Lactalbumin alpha
TTDI01393;Amyloid beta A4 binding protein
TTDI01394;Complement Factor
TTDI01395;Immunoglobulin gamma Fc receptor IIB
TTDI01396;HERV-W 3q26.32 ancestral Gag protein
TTDI01397;Lin 28 homolog A
TTDI01398;Staphylococcus enterotoxin B
TTDI01399;Autophagy protein
TTDI01400;L-Lysine oxidase
TTDI01401;Channel rhodopsin gene
TTDI01402;Ectonucleotide pyrophosphatase-PDE-2
TTDI01403;AXL tyrosine kinase receptor family
TTDI01404;Heparan sulfate proteoglycan protein
TTDI01405;Rho GTPase
TTDI01406;H19 gene
TTDI01407;Bcl-6 protein
TTDI01408;Bacterial quorum sensing protein
TTDI01409;IGF binding protein
TTDI01410;Bmx tyrosine kinase
TTDI01411;Branched amino acid aminotransferase 1
TTDI01412;Casein kinase I
TTDI01413;Cation channel sperm protein
TTDI01414;Chondroitin ABC endolyase 1
TTDI01415;Heat shock protein
TTDI01416;ATP-dependent Clp protease
TTDI01417;Type II TNF receptor
TTDI01418;Death associated protein kinase
TTDI01419;Ankyrin
TTDI01420;K-Ras GTPase
TTDI01421;Chromosomal replication initiator dnaA
TTDI01422;TNF receptor 21
TTDI01423;Sp1 transcription factor
TTDI01424;Natural cytotoxic triggering receptor 1
TTDI01425;Transcription factor gene
TTDI01426;Elongation factor 1 alpha
TTDI01427;Enoyl ACP reductase
TTDI01428;Falcipain
TTDI01429;Albumin
TTDI01430;Epimerase
TTDI01431;Gamma glutamyltranspeptidase
TTDI01432;GATA 3 transcription factor
TTDI01433;Glycogen synthase kinase
TTDI01434;Granulin ligand
TTDI01435;Class A orphan GPCR
TTDI01436;Class A GPCR
TTDI01437;Mechanosensitive channel
TTDI01438;GTPase
TTDI01439;A-G adenine DNA glycosylase
TTDI01440;PMS2L gene
TTDI01441;DNA RNA polymerase II subunit RPB11
TTDI01442;Chemokine CC22 ligand
TTDI01443;Chemokine CC23 ligand
TTDI01444;CXC11 chemokine ligand
TTDI01445;Thioredoxin domain-contained protein 12
TTDI01446;NTT4 neurotransmitter transporter
TTDI01447;TREM receptor 2
TTDI01448;Hypoxia inducible factor
TTDI01449;JmjC histone demethylation protein 2C
TTDI01450;TNFSF14 gene
TTDI01451;Adrenomedullin ligand
TTDI01452;Immunoglobulin gamma Fc receptor II
TTDI01453;Trans acting transcription protein ICP0
TTDI01454;Type I IL-1 receptor
TTDI01455;SMAD
TTDI01456;SREBP transcription factor 2
TTDI01457;IRAK-4 protein kinase
TTDI01458;S100 calcium binding protein
TTDI01459;Isocitrate dehydrogenase
TTDI01460;Scavenger receptor B1
TTDI01461;JmjC histone demethylation protein
TTDI01462;WW domain containing protein
TTDI01463;Triosephosphate dehydrogenase
TTDI01464;Leucine rich serine threonine kinase 2
TTDI01465;Ligase
TTDI01466;Delta-like protein ligand 1
TTDI01467;UDP N Acetylglucosamine Acyltransferase
TTDI01468;Lysine specific demethylase
TTDI01469;Cathepsin
TTDI01470;Frizzled receptor
TTDI01471;PB2 gene
TTDI01472;Metallothionein
TTDI01473;IRE1 protein kinase
TTDI01474;Methylthioadenosine nucleosidase
TTDI01475;CD24 gene
TTDI01476;Streptococcus exotoxin
TTDI01477;Hepatitis virus structural protein
TTDI01478;Elongation factor kinase 2
TTDI01479;Mitochondrial NADP transhydrogenase
TTDI01480;Neuregulin ligand
TTDI01481;Flavivirus NS3 protease
TTDI01482;Dengue virus 1 NS3 protease
TTDI01483;Ligand gated ion channel receptor
TTDI01484;Galanin ligand
TTDI01485;Eukaryotic initiation 2 alpha kinase 3
TTDI01486;PAK protein kinase
TTDI01487;Thymidine kinase 1
TTDI01488;Orphan nuclear receptor
TTDI01489;Pancreas duodenum homeobox 1
TTDI01490;Stathmin-1
TTDI01491;Ras related C3 botulinum substrate
TTDI01492;Plasmodium subtilisin like protease
TTDI01493;Lysostaphin
TTDI01494;Plasmepsin V
TTDI01495;Defensin
TTDI01496;Bifunctional polynucleotide phosphatase
TTDI01497;Protein tyrosine phosphatase IVA3
TTDI01498;Ptk6 tyrosine kinase
TTDI01499;LIM kinase
TTDI01500;C-type lectin domain protein
TTDI01501;Pleiotropic drug resistance transporter
TTDI01502;Protein recA
TTDI01503;Melanoma derived growth regulator
TTDI01504;Zinc alpha-2 glycoprotein precursor
TTDI01505;Retinoid Z receptor gamma
TTDI01506;Dengue virus protease
TTDI01507;Bacterial ribosome recycling factor
TTDI01508;Ribonuclease HII
TTDI01509;Retinoid Z receptor
TTDI01510;Ntrkr1 tyrosine kinase receptor
